Random Sampling
Training parameters: {'LOG_DIR': '../logs', 'dataset': 'cars', 'sz_embedding': 512, 'sz_batch': 128, 'nb_epochs': 1, 'gpu_id': 0, 'nb_workers': 0, 'model': 'bn_inception', 'loss': 'TripletPCA2', 'optimizer': 'adamw', 'lr': 0.0001, 'weight_decay': 0.0001, 'lr_decay_step': 20, 'lr_decay_gamma': 0.5, 'alpha': 32, 'mrg': 0.1, 'IPC': None, 'warm': 1, 'bn_freeze': 1, 'l2_norm': 1, 'remark': ''}
Training for 1 epochs.

0it [00:00, ?it/s]
Train Epoch: 0 [1/62 (0%)] Loss: 0.057808: : 0it [00:02, ?it/s]
Train Epoch: 0 [1/62 (0%)] Loss: 0.057808: : 1it [00:02,  2.70s/it]
Train Epoch: 0 [2/62 (2%)] Loss: 0.057288: : 1it [00:03,  3.87s/it]
 16%|█▋        | 21/128 [00:25<02:09,  1.21s/it]
 17%|█▋        | 22/128 [00:26<02:07,  1.21s/it]
 18%|█▊        | 23/128 [00:28<02:09,  1.23s/it]
 19%|█▉        | 24/128 [00:29<02:07,  1.22s/it]
 20%|█▉        | 25/128 [00:30<02:05,  1.21s/it]
 20%|██        | 26/128 [00:31<02:04,  1.22s/it]
 21%|██        | 27/128 [00:33<02:05,  1.24s/it]
 22%|██▏       | 28/128 [00:35<02:05,  1.26s/it]
 23%|██▎       | 29/128 [00:36<02:03,  1.25s/it]
 23%|██▎       | 30/128 [00:38<02:06,  1.29s/it]
 24%|██▍       | 31/128 [00:41<02:08,  1.33s/it]
 25%|██▌       | 32/128 [00:43<02:10,  1.36s/it]
 26%|██▌       | 33/128 [00:46<02:12,  1.40s/it]
 27%|██▋       | 34/128 [00:47<02:11,  1.40s/it]
 27%|██▋       | 35/128 [00:49<02:10,  1.41s/it]
 28%|██▊       | 36/128 [00:50<02:09,  1.41s/it]
 29%|██▉       | 37/128 [00:52<02:08,  1.41s/it]
 30%|██▉       | 38/128 [00:53<02:06,  1.40s/it]
 30%|███       | 39/128 [00:54<02:03,  1.39s/it]
 31%|███▏      | 40/128 [00:55<02:02,  1.40s/it]
 32%|███▏      | 41/128 [00:56<02:00,  1.39s/it]
 33%|███▎      | 42/128 [00:58<02:00,  1.40s/it]
 34%|███▎      | 43/128 [01:01<02:01,  1.43s/it]
 34%|███▍      | 44/128 [01:03<02:01,  1.44s/it]
 35%|███▌      | 45/128 [01:06<02:02,  1.48s/it]
 36%|███▌      | 46/128 [01:08<02:02,  1.49s/it]
 37%|███▋      | 47/128 [01:11<02:03,  1.53s/it]
 38%|███▊      | 48/128 [01:13<02:02,  1.54s/it]
 38%|███▊      | 49/128 [01:15<02:01,  1.54s/it]
 39%|███▉      | 50/128 [01:16<01:59,  1.54s/it]
 40%|███▉      | 51/128 [01:17<01:57,  1.53s/it]
 41%|████      | 52/128 [01:19<01:55,  1.52s/it]
 41%|████▏     | 53/128 [01:20<01:54,  1.53s/it]
 42%|████▏     | 54/128 [01:22<01:53,  1.53s/it]
 43%|████▎     | 55/128 [01:25<01:52,  1.55s/it]
 44%|████▍     | 56/128 [01:26<01:51,  1.55s/it]
 45%|████▍     | 57/128 [01:27<01:49,  1.54s/it]
 45%|████▌     | 58/128 [01:29<01:47,  1.54s/it]
 46%|████▌     | 59/128 [01:30<01:45,  1.53s/it]
 47%|████▋     | 60/128 [01:32<01:44,  1.54s/it]
 48%|████▊     | 61/128 [01:34<01:43,  1.54s/it]
 48%|████▊     | 62/128 [01:36<01:42,  1.55s/it]
 49%|████▉     | 63/128 [01:37<01:40,  1.55s/it]
 50%|█████     | 64/128 [01:38<01:38,  1.54s/it]
 51%|█████     | 65/128 [01:40<01:37,  1.54s/it]
 52%|█████▏    | 66/128 [01:41<01:35,  1.54s/it]
 52%|█████▏    | 67/128 [01:43<01:33,  1.54s/it]
 53%|█████▎    | 68/128 [01:44<01:32,  1.53s/it]
 54%|█████▍    | 69/128 [01:45<01:30,  1.53s/it]
 55%|█████▍    | 70/128 [01:46<01:28,  1.52s/it]
 55%|█████▌    | 71/128 [01:47<01:26,  1.52s/it]
 56%|█████▋    | 72/128 [01:49<01:25,  1.52s/it]
 57%|█████▋    | 73/128 [01:51<01:24,  1.53s/it]
 58%|█████▊    | 74/128 [01:52<01:22,  1.53s/it]
 59%|█████▊    | 75/128 [01:53<01:20,  1.52s/it]
 59%|█████▉    | 76/128 [01:54<01:18,  1.51s/it]
 60%|██████    | 77/128 [01:55<01:16,  1.51s/it]
 61%|██████    | 78/128 [01:57<01:15,  1.50s/it]
 62%|██████▏   | 79/128 [01:58<01:13,  1.50s/it]
 62%|██████▎   | 80/128 [01:59<01:11,  1.49s/it]
 63%|██████▎   | 81/128 [02:00<01:09,  1.49s/it]
 64%|██████▍   | 82/128 [02:01<01:08,  1.49s/it]
 65%|██████▍   | 83/128 [02:03<01:06,  1.48s/it]
 66%|██████▌   | 84/128 [02:04<01:05,  1.48s/it]
 66%|██████▋   | 85/128 [02:05<01:03,  1.48s/it]
 67%|██████▋   | 86/128 [02:07<01:02,  1.48s/it]
 68%|██████▊   | 87/128 [02:08<01:00,  1.48s/it]
 69%|██████▉   | 88/128 [02:09<00:58,  1.47s/it]
 70%|██████▉   | 89/128 [02:11<00:57,  1.47s/it]
 70%|███████   | 90/128 [02:12<00:55,  1.47s/it]
 71%|███████   | 91/128 [02:14<00:54,  1.48s/it]
 72%|███████▏  | 92/128 [02:16<00:53,  1.48s/it]
 73%|███████▎  | 93/128 [02:17<00:51,  1.48s/it]
 73%|███████▎  | 94/128 [02:20<00:50,  1.50s/it]
 74%|███████▍  | 95/128 [02:22<00:49,  1.50s/it]
 75%|███████▌  | 96/128 [02:24<00:48,  1.51s/it]
 76%|███████▌  | 97/128 [02:27<00:47,  1.52s/it]
 77%|███████▋  | 98/128 [02:29<00:45,  1.52s/it]
 77%|███████▋  | 99/128 [02:30<00:44,  1.52s/it]
 78%|███████▊  | 100/128 [02:32<00:42,  1.53s/it]
 79%|███████▉  | 101/128 [02:33<00:41,  1.52s/it]
 80%|███████▉  | 102/128 [02:34<00:39,  1.52s/it]
 80%|████████  | 103/128 [02:36<00:37,  1.52s/it]
 81%|████████▏ | 104/128 [02:37<00:36,  1.52s/it]
 82%|████████▏ | 105/128 [02:38<00:34,  1.51s/it]
 83%|████████▎ | 106/128 [02:42<00:33,  1.53s/it]
 84%|████████▎ | 107/128 [02:44<00:32,  1.53s/it]
 84%|████████▍ | 108/128 [02:47<00:30,  1.55s/it]
 85%|████████▌ | 109/128 [02:49<00:29,  1.55s/it]
 86%|████████▌ | 110/128 [02:53<00:28,  1.58s/it]
 87%|████████▋ | 111/128 [02:54<00:26,  1.58s/it]
 88%|████████▊ | 112/128 [02:57<00:25,  1.58s/it]
 88%|████████▊ | 113/128 [02:58<00:23,  1.58s/it]
 89%|████████▉ | 114/128 [02:59<00:22,  1.58s/it]
 90%|████████▉ | 115/128 [03:01<00:20,  1.58s/it]
 91%|█████████ | 116/128 [03:02<00:18,  1.58s/it]
 91%|█████████▏| 117/128 [03:04<00:17,  1.57s/it]
 92%|█████████▏| 118/128 [03:06<00:15,  1.58s/it]
 93%|█████████▎| 119/128 [03:08<00:14,  1.59s/it]
 94%|█████████▍| 120/128 [03:10<00:12,  1.59s/it]
 95%|█████████▍| 121/128 [03:12<00:11,  1.59s/it]
 95%|█████████▌| 122/128 [03:13<00:09,  1.58s/it]
 96%|█████████▌| 123/128 [03:14<00:07,  1.58s/it]
 97%|█████████▋| 124/128 [03:16<00:06,  1.59s/it]
 98%|█████████▊| 125/128 [03:18<00:04,  1.59s/it]
 98%|█████████▊| 126/128 [03:20<00:03,  1.59s/it]
 99%|█████████▉| 127/128 [03:21<00:01,  1.59s/it]
100%|██████████| 128/128 [03:21<00:00,  1.58s/it]
R@1 : 98.327
R@2 : 99.170
R@4 : 99.625
R@8 : 99.822
R@16 : 99.932
R@32 : 99.975
Corruption : gaussian_noise, Severity : 2

  0%|          | 0/191 [00:00<?, ?it/s]
  1%|          | 1/191 [00:01<04:18,  1.36s/it]
  1%|          | 2/191 [00:02<04:35,  1.46s/it]
